SmpDate,Name,DOB,Age,Years,Cyst,Male,ODV
10/28/14,Jude,5/2/08,SA,6.488706366,0,1,-13.48624368
10/28/14,Sean,10/24/07,SA,7.011635866,0,1,-11.88624368
9/16/14,Gohnetti,10/1/00,A,13.95756331,0,1,-11.72045075
5/11/15,Gashaw,1/27/05,A,10.28325348,0,1,-11.62045075
9/6/14,Biggie,7/19/14,I,0.134154689,0,1,-10.62045075
5/13/15,Gashaw,1/27/05,A,10.28872918,0,1,-10.42045075
10/26/14,Millie,12/10/13,I,0.875998175,0,0,-10.32045075
10/19/14,Violet,2/14/05,A,9.675450605,0,0,-10.32045075
10/6/14,Fabio,4/5/06,A,8.503764545,0,1,-10.12045075
5/16/15,Mhetik,3/29/02,A,13.1306183,0,1,-9.570450751
5/15/15,Demon,12/10/06,A,8.426990646,0,1,-9.470450751
9/4/14,Bianca,8/16/10,SA,4.052019165,0,0,-9.463056126
8/11/14,Noha,4/11/03,A,11.33470226,0,1,-8.963056126
9/4/14,Zara,11/1/05,A,8.840406115,0,0,-8.963056126
5/16/15,Gashaw,1/27/05,A,10.29694273,0,1,-8.920450751
5/16/15,Erckel,7/8/06,A,8.854209446,0,1,-8.820450751
9/15/15,Dessie,1/27/03,A,12.63232945,0,0,-8.720450751
9/1/14,Gladys,6/1/96,A,18.25051335,0,0,-8.548787135
9/3/14,Virga,11/8/11,SA,2.819872234,0,0,-8.548787135
10/27/14,Monica,6/6/93,A,21.3908282,0,0,-8.386243683
9/4/14,Bossy,9/25/10,SA,3.942505133,0,0,-8.348787135
9/6/14,Mhetik,3/29/02,A,12.4406799,0,1,-8.263056126
8/14/14,Imposter,2/1/06,A,8.531028976,0,1,-7.963056126
5/13/15,Setey,7/25/02,A,12.79945243,0,1,-7.920450751
9/17/14,Blomkvist,11/27/10,SA,3.805498517,0,1,-7.748787135
5/14/15,Vodka,3/24/03,A,12.13951631,0,1,-7.620450751
9/6/14,Sol,12/27/04,A,9.691877709,0,1,-7.248787135
9/4/14,Isaac,7/9/10,SA,4.156057495,0,1,-7.220450751
10/28/14,Gashaw,1/27/05,A,9.749372576,0,1,-7.086243683
10/5/14,Tea,6/4/02,A,12.33675565,0,0,-6.920450751
5/15/15,Vodka,3/24/03,A,12.14225416,0,1,-6.770450751
9/17/14,Keegle,3/1/01,A,13.54677162,0,0,-6.563056126
8/11/14,Cauliflower,2/8/13,SA,1.502966005,0,0,-6.182525221
9/21/14,Gavin,9/23/10,SA,3.994524298,0,1,-6.048787135
8/13/14,Gashaw,1/27/05,A,9.541295916,0,1,-5.982525221
8/11/14,Coco,2/17/04,A,10.48037874,0,0,-5.882525221
8/31/14,Vienna,3/11/07,A,7.474218572,0,0,-5.863056126
8/12/14,Trudy,6/7/90,A,24.18069815,0,0,-5.782525221
9/4/14,Brindle,12/1/05,A,8.758270591,0,0,-5.748787135
4/15/15,Dolly,9/3/09,SA,5.612594114,0,0,-5.585191083
9/19/14,Bossy,9/25/10,SA,3.983572895,0,0,-5.548787135
4/21/15,Imposter,2/1/06,A,9.215491672,0,1,-5.385191083
5/16/15,Bumblebee,4/19/01,A,14.07255305,0,1,-5.320450751
4/11/15,Demon,12/10/06,A,8.333903719,0,1,-5.285191083
8/12/14,Autumn,9/11/10,SA,3.917864476,0,0,-5.282525221
9/23/14,Opal,9/1/10,SA,4.060232717,0,0,-5.148787135
4/8/15,Oregon,12/22/07,SA,7.29352042,0,1,-5.085191083
10/29/14,Mhetik,3/29/02,A,12.58578599,0,1,-4.986243683
4/16/15,Demon,12/10/06,A,8.347592973,0,1,-4.985191083
10/28/14,Mimi,9/9/98,A,16.13415469,0,0,-4.783371402
10/18/14,Zion,1/1/97,A,17.79317819,0,0,-4.720450751
4/8/15,Cristos,9/26/13,I,1.53045859,0,1,-4.685191083
10/11/14,Midge,11/4/02,A,11.9341775,0,0,-4.582525221
8/17/14,Mambo,10/5/10,SA,3.865845311,0,0,-4.563056126
10/27/14,Mastika,9/20/14,I,0.101300479,0,0,-4.520450751
10/19/14,Vampire,12/1/01,A,12.88147388,0,0,-4.483371402
10/12/14,Sean,10/24/07,SA,6.967830253,0,1,-4.482525221
8/29/14,Xavier,1/8/09,SA,5.637120694,0,1,-4.448787135
